Date ID,Date,Quarter,Month,Year
1,2003-02-24,1,2,2003
2,2003-05-07,2,5,2003
3,2003-07-01,3,7,2003
4,2003-08-25,3,8,2003
5,2003-10-10,4,10,2003
6,2003-10-28,4,10,2003
7,2003-11-11,4,11,2003
8,2003-11-18,4,11,2003
9,2003-12-01,4,12,2003
10,2004-01-15,1,1,2004
11,2004-02-20,1,2,2004
12,2004-04-05,2,4,2004
13,2004-05-18,2,5,2004
14,2004-06-28,2,6,2004
15,2004-07-23,3,7,2004
16,2004-08-27,3,8,2004
17,2004-09-30,3,9,2004
18,2004-10-15,4,10,2004
19,2004-11-02,4,11,2004
20,2004-11-15,4,11,2004
21,2004-11-24,4,11,2004
22,2004-12-17,4,12,2004
23,2005-02-03,1,2,2005
24,2005-03-03,1,3,2005
25,2005-04-08,2,4,2005
26,2005-05-13,2,5,2005
27,2003-01-29,1,1,2003
28,2003-03-24,1,3,2003
29,2003-05-28,2,5,2003
30,2003-07-24,3,7,2003
31,2003-09-19,3,9,2003
32,2003-10-20,4,10,2003
33,2003-11-06,4,11,2003
34,2003-11-13,4,11,2003
35,2003-11-25,4,11,2003
36,2003-12-05,4,12,2003
37,2004-01-29,1,1,2004
38,2004-03-10,1,3,2004
39,2004-05-04,2,5,2004
40,2004-06-15,2,6,2004
41,2004-07-19,3,7,2004
42,2004-08-17,3,8,2004
43,2004-09-08,3,9,2004
44,2004-10-11,4,10,2004
45,2004-10-21,4,10,2004
46,2004-11-04,4,11,2004
47,2004-11-18,4,11,2004
48,2004-11-29,4,11,2004
49,2004-12-10,4,12,2004
50,2005-01-20,1,1,2005
51,2005-02-17,1,2,2005
52,2005-03-09,1,3,2005
53,2005-05-01,2,5,2005
54,2005-05-31,2,5,2005
55,2003-04-29,2,4,2003
56,2004-01-12,1,1,2004
57,2004-04-03,2,4,2004
58,2004-09-27,3,9,2004
59,2004-11-23,4,11,2004
60,2005-02-02,1,2,2005
61,2005-04-07,2,4,2005
62,2005-01-05,1,1,2005
63,2003-02-11,1,2,2003
64,2003-04-28,2,4,2003
65,2003-06-12,2,6,2003
66,2003-08-10,3,8,2003
67,2003-10-06,4,10,2003
68,2003-10-23,4,10,2003
69,2003-11-08,4,11,2003
70,2003-11-14,4,11,2003
71,2003-11-26,4,11,2003
72,2004-01-09,1,1,2004
73,2004-02-19,1,2,2004
74,2004-05-07,2,5,2004
75,2004-06-17,2,6,2004
76,2004-07-21,3,7,2004
77,2004-08-20,3,8,2004
78,2004-09-10,3,9,2004
79,2004-10-14,4,10,2004
80,2004-11-01,4,11,2004
81,2004-11-05,4,11,2004
82,2004-11-21,4,11,2004
83,2004-12-02,4,12,2004
84,2004-12-15,4,12,2004
85,2005-01-31,1,1,2005
86,2005-02-23,1,2,2005
87,2005-03-17,1,3,2005
88,2005-04-01,2,4,2005
89,2005-05-06,2,5,2005
90,2003-04-01,2,4,2003
91,2003-10-21,4,10,2003
92,2003-12-09,4,12,2003
93,2004-02-04,1,2,2004
94,2004-03-11,1,3,2004
95,2004-08-19,3,8,2004
96,2004-10-13,4,10,2004
97,2004-10-22,4,10,2004
98,2004-11-19,4,11,2004
99,2003-03-03,1,3,2003
100,2003-05-08,2,5,2003
101,2003-07-02,3,7,2003
102,2003-09-05,3,9,2003
103,2003-11-04,4,11,2003
104,2003-11-12,4,11,2003
105,2003-11-20,4,11,2003
106,2003-12-02,4,12,2003
107,2004-02-22,1,2,2004
108,2004-04-09,2,4,2004
109,2004-06-01,2,6,2004
110,2004-07-06,3,7,2004
111,2004-08-02,3,8,2004
112,2004-08-30,3,8,2004
113,2003-10-04,4,10,2003
114,2004-10-16,4,10,2004
115,2004-11-03,4,11,2004
116,2005-01-06,1,1,2005
117,2005-05-17,2,5,2005
118,2003-04-16,2,4,2003
119,2003-06-03,2,6,2003
120,2003-08-08,3,8,2003
121,2003-09-28,3,9,2003
122,2003-10-22,4,10,2003
123,2004-01-02,1,1,2004
124,2004-02-12,1,2,2004
125,2004-03-19,1,3,2004
126,2004-05-05,2,5,2004
127,2004-07-20,3,7,2004
128,2004-09-09,3,9,2004
129,2004-11-20,4,11,2004
130,2005-01-23,1,1,2005
131,2005-05-05,2,5,2005
132,2003-03-26,1,3,2003
133,2004-02-02,1,2,2004
134,2004-02-21,1,2,2004
135,2003-01-31,1,1,2003
136,2004-03-15,1,3,2004
137,2005-01-26,1,1,2005
138,2003-10-11,4,10,2003
139,2004-01-16,1,1,2004
140,2005-02-08,1,2,2005
141,2004-12-01,4,12,2004
142,2005-03-23,1,3,2005
143,2005-02-09,1,2,2005
144,2003-04-04,2,4,2003
145,2003-08-01,3,8,2003
146,2003-09-21,3,9,2003
147,2004-02-10,1,2,2004
148,2005-05-03,2,5,2005
149,2004-04-12,2,4,2004
150,2004-08-04,3,8,2004
151,2005-04-14,2,4,2005
152,2003-03-10,1,3,2003
153,2003-07-04,3,7,2003
154,2003-09-11,3,9,2003
155,2003-10-17,4,10,2003
156,2003-11-05,4,11,2003
157,2004-04-13,2,4,2004
158,2004-08-06,3,8,2004
159,2003-10-05,4,10,2003
160,2004-11-17,4,11,2004
161,2004-12-09,4,12,2004
162,2005-01-07,1,1,2005
163,2005-03-04,1,3,2005
164,2005-04-15,2,4,2005
165,2003-01-10,1,1,2003
166,2003-03-25,1,3,2003
167,2003-05-21,2,5,2003
168,2003-07-16,3,7,2003
169,2003-09-12,3,9,2003
170,2003-10-18,4,10,2003
171,2003-11-21,4,11,2003
172,2003-12-03,4,12,2003
173,2004-03-02,1,3,2004
174,2004-04-29,2,4,2004
175,2004-06-08,2,6,2004
176,2004-09-03,3,9,2004
177,2005-02-16,1,2,2005
178,2005-05-30,2,5,2005
179,2003-03-18,1,3,2003
180,2003-05-20,2,5,2003
181,2003-07-10,3,7,2003
182,2004-02-26,1,2,2004
183,2004-09-01,3,9,2004
184,2005-01-12,1,1,2005
185,2005-02-10,1,2,2005
186,2005-04-22,2,4,2005
187,2003-02-17,1,2,2003
188,2003-06-16,2,6,2003
189,2003-11-27,4,11,2003
190,2004-05-11,2,5,2004
191,2004-06-24,2,6,2004
192,2004-08-21,3,8,2004
193,2004-09-15,3,9,2004
194,2004-11-10,4,11,2004
195,2004-11-22,4,11,2004
196,2004-12-03,4,12,2004
197,2005-03-01,1,3,2005
198,2005-03-30,1,3,2005
199,2005-05-10,2,5,2005
200,2003-01-06,1,1,2003
201,2004-01-26,1,1,2004
202,2004-11-25,4,11,2004
203,2005-05-29,2,5,2005
204,2005-01-10,1,1,2005
205,2004-10-06,4,10,2004
206,2005-02-22,1,2,2005
207,2003-01-09,1,1,2003
208,2004-04-26,2,4,2004
209,2005-04-23,2,4,2005
210,2003-06-27,2,6,2003
211,2004-04-02,2,4,2004
212,2004-09-16,3,9,2004
213,2004-12-04,4,12,2004
214,2005-04-03,2,4,2005
215,2004-06-04,2,6,2004
216,2004-06-14,2,6,2004
217,2004-07-16,3,7,2004
218,2005-03-10,1,3,2005
219,2003-06-06,2,6,2003
220,2003-11-07,4,11,2003
221,2004-02-18,1,2,2004
222,2004-03-20,1,3,2004
223,2005-03-15,1,3,2005
224,2004-11-09,4,11,2004
225,2004-05-26,2,5,2004
226,2004-07-02,3,7,2004
227,2004-09-07,3,9,2004
228,2004-11-16,4,11,2004
229,2004-12-07,4,12,2004
230,2003-09-03,3,9,2003
231,2004-06-30,2,6,2004
232,2004-08-28,3,8,2004
233,2004-05-08,2,5,2004
234,2004-11-12,4,11,2004
235,2005-05-09,2,5,2005
236,2003-09-25,3,9,2003
237,2004-01-22,1,1,2004
238,2004-10-29,4,10,2004
239,2004-07-07,3,7,2004
240,2004-08-09,3,8,2004
241,2003-11-19,4,11,2003
242,2005-01-19,1,1,2005
243,2003-10-02,4,10,2003
244,2004-03-29,1,3,2004
245,2005-02-28,1,2,2005
246,2004-04-20,2,4,2004
247,2005-03-02,1,3,2005
248,2003-04-11,2,4,2003
249,2003-08-13,3,8,2003
250,2003-10-08,4,10,2003
251,2005-03-28,1,3,2005
252,2003-04-21,2,4,2003
